uvrstitev,id,naslov,avtor,povp_ocena,st_ocen,ocena,st_glasov,zbirka,zap_st_knjige_v_zbirki
847,23955580,Skinhead... The Life I Chose: Memoirs of a Real Skin,Spike Pitt,3.54,2312,579,6,,
848,25242224,The Story of the Lost Child,Elena Ferrante,4.41,97518,578,7,The Neapolitan Novels,4
849,462033,Maisie Dobbs,Jacqueline Winspear,3.91,96393,576,8,Maisie Dobbs,1
850,245579,My Dream of You,Nuala O&#39;Faolain,3.57,2422,575,7,,
851,3463,A Bend in the Road,Nicholas Sparks,4.03,142369,574,8,,
852,10883,Benjamin Franklin: An American Life,Walter Isaacson,4.00,127749,573,9,,
852,13615258,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",Veronica Roth,4.13,98593,573,8,,
852,10032672,The Language of Flowers,Vanessa Diffenbaugh,4.08,203114,573,8,,
855,8087906,River Marked,Patricia Briggs,4.26,83265,572,8,Mercy Thompson,6
856,3483,Special Topics in Calamity Physics,Marisha Pessl,3.71,48848,570,8,,
857,35847912,Colombiano,Rusty Young,4.33,1363,569,6,,
858,2855034,Nation,Terry Pratchett,4.09,33068,568,9,,
858,20819685,The Bone Clocks,David Mitchell,3.83,91245,568,7,,
860,4494917,Gone Tomorrow,Lee Child,4.17,96446,567,8,Jack Reacher,13
860,7334201,Super Sad True Love Story,Gary Shteyngart,3.45,38778,567,7,,
860,36809135,Where the Crawdads Sing,Delia Owens,4.46,1445600,567,9,,
863,10915,Salem Falls,Jodi Picoult,3.82,75743,564,10,,
864,41250,GraceLand,Chris Abani,3.79,2395,563,6,,
865,944073,The Blade Itself,Joe Abercrombie,4.17,190130,561,7,The First Law,1
866,1833852,A Fraction of the Whole,Steve Toltz,4.14,18599,559,7,,
866,6905012,Secret Daughter,Shilpi Somaya Gowda,3.99,70891,559,9,,
866,13079,Skinny Dip,Carl Hiaasen,3.80,41640,559,4,"Skink, #5; Mick Stranahan",2
866,12287209,Wool,Hugh Howey,4.11,80291,559,6,Wool,1
866,23156040,Those Who Leave and Those Who Stay,Elena Ferrante,4.32,106091,559,8,The Neapolitan Novels,3
871,55018,The Tin Roof Blowdown,James Lee Burke,4.17,13616,557,7,Dave Robicheaux,16
871,7540092,Monsters of Men,Patrick Ness,4.20,81609,557,6,Chaos Walking,3
873,15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,3.95,163540,555,7,,
874,85418,Just One Look,Harlan Coben,4.01,35854,554,7,,
874,6218281,The Sweetness at the Bottom of the Pie,Alan Bradley,3.82,161273,554,9,Flavia de Luce,1
876,42155,Something Blue,Emily Giffin,3.93,208088,551,7,Darcy &amp; Rachel,2
876,12612,Hegemony or Survival: America's Quest for Global Dominance,Noam Chomsky,3.97,12780,551,6,,
876,5664985,Along for the Ride,Sarah Dessen,4.05,195087,551,10,,
876,17863,Accelerando,Charles Stross,3.89,21623,551,7,,
880,2199365,The Lost Books of the Odyssey,Zachary Mason,3.93,3009,549,6,,
880,32283133,Origin,Dan Brown,3.87,286095,549,9,Robert Langdon,5
882,38657,The Stolen Child,Keith Donohue,3.72,11085,548,6,,
